h_name	t_name	type	source	relation	split
CCAT1	OASL	protein_coding	CRISPR		
CCAT1	EPHA2	protein_coding	CRISPR		
CCAT1	AKR1B1	protein_coding	CRISPR		
CCAT1	IFIT2	protein_coding	CRISPR		
CCAT1	PAPPA	protein_coding	CRISPR		
CCAT1	AKR1B10	protein_coding	CRISPR		
CCAT1	ANKRD1	protein_coding	CRISPR		
CCAT1	THBS1	protein_coding	CRISPR		
CCAT1	SERPINE1	protein_coding	CRISPR		
CCAT1	IL7R	protein_coding	CRISPR		
CCAT1	IFI27	protein_coding	CRISPR		
CCAT1	SUSD2	protein_coding	CRISPR		
CCAT1	CCL5	protein_coding	CRISPR		
CCAT1	OAS2	protein_coding	CRISPR		
CCAT1	KRT17	protein_coding	CRISPR		
EPB41L4A-AS1	SCD	protein_coding	CRISPR		
EPB41L4A-AS1	PHGDH	protein_coding	CRISPR		
EPB41L4A-AS1	CCND1	protein_coding	CRISPR		
EPB41L4A-AS1	MALAT1	lncRNA	CRISPR		
EPB41L4A-AS1	DDIT3	transcription_factor	CRISPR		
EPB41L4A-AS1	EGR1	transcription_factor	CRISPR		
LAMTOR5-AS1	DUSP1	protein_coding	CRISPR		
LAMTOR5-AS1	GPRC5A	protein_coding	CRISPR		
LAMTOR5-AS1	NEU1	protein_coding	CRISPR		
LAMTOR5-AS1	FMNL2	protein_coding	CRISPR		
LAMTOR5-AS1	BRI3	protein_coding	CRISPR		
LAMTOR5-AS1	SLC2A3	protein_coding	CRISPR		
LAMTOR5-AS1	PPARGC1A	protein_coding	CRISPR		
LAMTOR5-AS1	SQSTM1	protein_coding	CRISPR		
LAMTOR5-AS1	TXNIP	protein_coding	CRISPR		
LAMTOR5-AS1	BHLHE40	transcription_factor	CRISPR		
LAMTOR5-AS1	EPAS1	protein_coding	CRISPR		
LAMTOR5-AS1	S100P	protein_coding	CRISPR		
LAMTOR5-AS1	NKD2	protein_coding	CRISPR		
LAMTOR5-AS1	PIM1	protein_coding	CRISPR		
LAMTOR5-AS1	NEAT1	lncRNA	CRISPR		
LAMTOR5-AS1	GRN	protein_coding	CRISPR		
LAMTOR5-AS1	GDF15	protein_coding	CRISPR		
LAMTOR5-AS1	PDK4	protein_coding	CRISPR		
LAMTOR5-AS1	GPNMB	protein_coding	CRISPR		
MIR17HG	OASL	protein_coding	CRISPR		
MIR17HG	CCL5	protein_coding	CRISPR		
MIR210HG	SCD	protein_coding	CRISPR		
MIR210HG	ATF3	transcription_factor	CRISPR		
PVT1	TNFRSF1B	protein_coding	CRISPR		
PVT1	HMGA1	transcription_factor	CRISPR		
PVT1	WNT7B	protein_coding	CRISPR		
PVT1	SPHK1	protein_coding	CRISPR		
PVT1	FOSL1	transcription_factor	CRISPR		
PVT1	PAX8	transcription_factor	CRISPR		
PVT1	MDK	protein_coding	CRISPR		
PVT1	EPHA2	protein_coding	CRISPR		
PVT1	E2F1	transcription_factor	CRISPR		
PVT1	ID1	transcription_factor	CRISPR		
PVT1	LIMK1	protein_coding	CRISPR		
PVT1	CDT1	protein_coding	CRISPR		
PVT1	CCND1	protein_coding	CRISPR	expression association	train
PVT1	IL11	protein_coding	CRISPR		
PVT1	CAMK2N2	protein_coding	CRISPR		
PVT1	SPRY2	protein_coding	CRISPR		
PVT1	SQSTM1	protein_coding	CRISPR		
PVT1	BRI3	protein_coding	CRISPR		
PVT1	PIN1	protein_coding	CRISPR		
PVT1	BAD	protein_coding	CRISPR		
PVT1	SEMA7A	protein_coding	CRISPR		
PVT1	BCL2L1	protein_coding	CRISPR		
PVT1	ARHGDIA	protein_coding	CRISPR		
PVT1	ANXA11	protein_coding	CRISPR		
PVT1	SIVA1	protein_coding	CRISPR		
PVT1	CDC34	protein_coding	CRISPR		
PVT1	ACOT7	protein_coding	CRISPR		
PVT1	HMOX1	protein_coding	CRISPR		
PVT1	MCM5	protein_coding	CRISPR		
PVT1	PGK1	protein_coding	CRISPR		
PVT1	COL1A1	protein_coding	CRISPR		
PVT1	LOXL2	protein_coding	CRISPR		
PVT1	GOLM1	protein_coding	CRISPR		
PVT1	HSPA5	protein_coding	CRISPR		
PVT1	NDRG1	protein_coding	CRISPR		
PVT1	SERPINH1	protein_coding	CRISPR		
PVT1	SCD	protein_coding	CRISPR		
PVT1	LAMC1	protein_coding	CRISPR		
PVT1	SLC2A1	protein_coding	CRISPR	ceRNA or sponge	train
PVT1	COL1A2	protein_coding	CRISPR		
PVT1	CTNND1	protein_coding	CRISPR		
PVT1	P4HA2	protein_coding	CRISPR		
PVT1	PEG10	protein_coding	CRISPR		
PVT1	KDM5B	transcription_factor	CRISPR		
PVT1	BCAT1	protein_coding	CRISPR		
PVT1	LRIG1	protein_coding	CRISPR		
PVT1	SMAD3	transcription_factor	CRISPR	ceRNA or sponge	train
PVT1	STC1	protein_coding	CRISPR		
PVT1	HILPDA	protein_coding	CRISPR	ceRNA or sponge	train
PVT1	OSMR	protein_coding	CRISPR		
PVT1	TFRC	protein_coding	CRISPR	ceRNA or sponge	train
PVT1	ETS1	transcription_factor	CRISPR		
PVT1	PDK1	protein_coding	CRISPR		
PVT1	CDK19	protein_coding	CRISPR		
PVT1	MAPK6	protein_coding	CRISPR		
PVT1	TCF12	transcription_factor	CRISPR		
PVT1	HK2	protein_coding	CRISPR	ceRNA or sponge	train
PVT1	HELZ	protein_coding	CRISPR		
PVT1	ATM	protein_coding	CRISPR		
PVT1	ADAM12	protein_coding	CRISPR		
PVT1	SPARC	protein_coding	CRISPR		
PVT1	EGFR	protein_coding	CRISPR		
PVT1	COL6A3	protein_coding	CRISPR		
PVT1	CCNG2	protein_coding	CRISPR		
PVT1	FN1	protein_coding	CRISPR		
PVT1	ROBO1	protein_coding	CRISPR		
PVT1	TRIM44	protein_coding	CRISPR		
PVT1	ROCK1	protein_coding	CRISPR		
PVT1	SEMA5A	protein_coding	CRISPR		
PVT1	TGFBI	protein_coding	CRISPR		
PVT1	GPC6	protein_coding	CRISPR		
PVT1	TXNIP	protein_coding	CRISPR		
PVT1	ERRFI1	protein_coding	CRISPR		
PVT1	IL7R	protein_coding	CRISPR		
PVT1	NFAT5	transcription_factor	CRISPR		
PVT1	LOX	protein_coding	CRISPR		
PVT1	ITPR1	protein_coding	CRISPR		
PVT1	JAG1	protein_coding	CRISPR		
PVT1	CRYBG3	protein_coding	CRISPR		
PVT1	IGFBP5	protein_coding	CRISPR		
PVT1	NEK2	protein_coding	CRISPR		
PVT1	KIF20A	protein_coding	CRISPR		
PVT1	TSPYL4	protein_coding	CRISPR		
PVT1	SMAD1	transcription_factor	CRISPR		
PVT1	MAP4K3	protein_coding	CRISPR		
PVT1	HIF1A	transcription_factor	CRISPR	ceRNA or sponge	valid
PVT1	IL1B	protein_coding	CRISPR		
PVT1	DKK1	protein_coding	CRISPR		
PVT1	PHF6	protein_coding	CRISPR		
PVT1	SOCS5	protein_coding	CRISPR		
PVT1	EREG	protein_coding	CRISPR		
PVT1	KLF5	transcription_factor	CRISPR	ceRNA or sponge	train
PVT1	ADAM9	protein_coding	CRISPR		
PVT1	SNX16	protein_coding	CRISPR		
PVT1	CPEB2	protein_coding	CRISPR		
PVT1	SP3	transcription_factor	CRISPR		
PVT1	RND3	protein_coding	CRISPR		
PVT1	GALNT7	protein_coding	CRISPR		
PVT1	ASPM	protein_coding	CRISPR		
PVT1	CBL	protein_coding	CRISPR		
PVT1	HMMR	protein_coding	CRISPR		
PVT1	ACSL4	protein_coding	CRISPR		
PVT1	ZNF217	transcription_factor	CRISPR		
PVT1	BUB1	protein_coding	CRISPR		
PVT1	LATS1	protein_coding	CRISPR		
PVT1	ATF2	transcription_factor	CRISPR		
PVT1	FOXF1	transcription_factor	CRISPR		
PVT1	EPS8	protein_coding	CRISPR		
PVT1	RB1	protein_coding	CRISPR		
PVT1	TEAD1	transcription_factor	CRISPR		
PVT1	FMR1	protein_coding	CRISPR		
PVT1	LINC00265	lncRNA	CRISPR		
PVT1	ABCA1	protein_coding	CRISPR		
PVT1	GPNMB	protein_coding	CRISPR		
PVT1	CEP55	protein_coding	CRISPR		
PVT1	MKLN1-AS	lncRNA	CRISPR		
PVT1	PLSCR4	protein_coding	CRISPR		
PVT1	KIF23	protein_coding	CRISPR	ceRNA or sponge	train
PVT1	CD164	protein_coding	CRISPR		
PVT1	FBXL3	protein_coding	CRISPR		
PVT1	NRIP1	protein_coding	CRISPR		
PVT1	YES1	protein_coding	CRISPR		
PVT1	NCK1	protein_coding	CRISPR		
PVT1	NFE2L2	transcription_factor	CRISPR		
PVT1	SLC7A11	protein_coding	CRISPR		
PVT1	RBL2	protein_coding	CRISPR		
PVT1	REST	transcription_factor	CRISPR		
PVT1	DCLK1	protein_coding	CRISPR		
PVT1	SMG1	protein_coding	CRISPR		
PVT1	FOXC2	transcription_factor	CRISPR		
PVT1	TWF1	protein_coding	CRISPR		
PVT1	KLF12	transcription_factor	CRISPR		
PVT1	GREM1	protein_coding	CRISPR	ceRNA or sponge	train
PVT1	CENPF	protein_coding	CRISPR		
PVT1	FGD5-AS1	lncRNA	CRISPR		
PVT1	RGS17	protein_coding	CRISPR		
PVT1	CPEB4	protein_coding	CRISPR		
PVT1	TGFBR2	protein_coding	CRISPR		
PVT1	GSKIP	protein_coding	CRISPR		
PVT1	APC	protein_coding	CRISPR		
PVT1	ANGPT1	protein_coding	CRISPR		
PVT1	FUBP3	protein_coding	CRISPR		
PVT1	MKRN3	protein_coding	CRISPR		
PVT1	PLA2G4A	protein_coding	CRISPR		
PVT1	CCNG1	protein_coding	CRISPR		
PVT1	KLF3	transcription_factor	CRISPR		
PVT1	SPIN1	protein_coding	CRISPR		
PVT1	SNHG14	lncRNA	CRISPR		
PVT1	AFF1	transcription_factor	CRISPR		
PVT1	KDM6A	protein_coding	CRISPR		
PVT1	FGF2	protein_coding	CRISPR	ceRNA or sponge	train
PVT1	RICTOR	protein_coding	CRISPR		
PVT1	SATB2	transcription_factor	CRISPR		
PVT1	G3BP2	protein_coding	CRISPR		
PVT1	ZEB2	transcription_factor	CRISPR		
PVT1	BRMS1L	protein_coding	CRISPR		
PVT1	MIR221	miRNA	CRISPR		
PVT1	CENPE	protein_coding	CRISPR		
PVT1	CCDC88A	protein_coding	CRISPR		
PVT1	CCNB1	protein_coding	CRISPR		
PVT1	SIRT1	protein_coding	CRISPR		
PVT1	KLF10	transcription_factor	CRISPR		
PVT1	STAT1	transcription_factor	CRISPR	epigenetic regulation	valid
PVT1	ID2	transcription_factor	CRISPR		
PVT1	SOCS6	protein_coding	CRISPR		
PVT1	SMAD5	transcription_factor	CRISPR		
PVT1	LATS2	protein_coding	CRISPR	epigenetic regulation	train
PVT1	DPYD	protein_coding	CRISPR		
PVT1	CAPN7	protein_coding	CRISPR		
PVT1	SGMS2	protein_coding	CRISPR		
PVT1	RNF38	protein_coding	CRISPR		
PVT1	IGF2BP3	protein_coding	CRISPR		
PVT1	FMNL2	protein_coding	CRISPR		
PVT1	IRS1	protein_coding	CRISPR	ceRNA or sponge	valid
PVT1	XRN2	protein_coding	CRISPR		
PVT1	ACSL1	protein_coding	CRISPR		
PVT1	RAP2A	protein_coding	CRISPR		
PVT1	HDAC9	protein_coding	CRISPR		
PVT1	CFL2	protein_coding	CRISPR		
PVT1	PDPK1	protein_coding	CRISPR		
PVT1	LINC-PINT	lncRNA	CRISPR		
PVT1	SHOX2	transcription_factor	CRISPR		
PVT1	NAMPT	protein_coding	CRISPR		
PVT1	KAT2B	protein_coding	CRISPR		
PVT1	RDX	protein_coding	CRISPR		
PVT1	DHX36	protein_coding	CRISPR		
PVT1	BRCA2	protein_coding	CRISPR		
PVT1	KMT2C	protein_coding	CRISPR		
PVT1	KPNA3	protein_coding	CRISPR		
PVT1	BMPR1A	protein_coding	CRISPR		
PVT1	PDE5A	protein_coding	CRISPR		
PVT1	SYNJ1	protein_coding	CRISPR		
PVT1	PIK3CA	protein_coding	CRISPR		
PVT1	TRPM7	protein_coding	CRISPR		
PVT1	PODXL	protein_coding	CRISPR		
PVT1	PRKDC	protein_coding	CRISPR		
PVT1	GLS	protein_coding	CRISPR		
PVT1	CDK13	protein_coding	CRISPR		
PVT1	GCLM	protein_coding	CRISPR		
PVT1	LRRK2	protein_coding	CRISPR		
PVT1	BUB1B	protein_coding	CRISPR		
PVT1	CCNA2	protein_coding	CRISPR		
PVT1	ARHGAP18	protein_coding	CRISPR		
PVT1	SPP1	protein_coding	CRISPR		
PVT1	SOS1	protein_coding	CRISPR		
PVT1	DNMT3B	protein_coding	CRISPR		
PVT1	NUSAP1	protein_coding	CRISPR		
PVT1	ABI3BP	protein_coding	CRISPR		
PVT1	TP53INP1	protein_coding	CRISPR		
PVT1	DICER1	protein_coding	CRISPR		
PVT1	RAB5A	protein_coding	CRISPR		
PVT1	CDK14	protein_coding	CRISPR		
PVT1	ELF1	transcription_factor	CRISPR		
PVT1	PLK2	protein_coding	CRISPR		
PVT1	FRS2	protein_coding	CRISPR		
PVT1	DYRK1A	protein_coding	CRISPR		
PVT1	BACH1	transcription_factor	CRISPR		
PVT1	WWP1	protein_coding	CRISPR		
PVT1	YAP1	transcription_factor	CRISPR	expression association	valid
PVT1	PTBP2	protein_coding	CRISPR		
PVT1	ADAM10	protein_coding	CRISPR		
PVT1	SUZ12	protein_coding	CRISPR		
PVT1	COMMD8	protein_coding	CRISPR		
PVT1	SATB1	transcription_factor	CRISPR		
PVT1	MYD88	protein_coding	CRISPR		
PVT1	CDKN1B	protein_coding	CRISPR		
PVT1	SETD2	protein_coding	CRISPR		
PVT1	ZNF281	protein_coding	CRISPR		
PVT1	KDM1B	protein_coding	CRISPR		
PVT1	NT5E	protein_coding	CRISPR		
PVT1	SLAIN2	protein_coding	CRISPR		
PVT1	GCLC	protein_coding	CRISPR		
PVT1	HBP1	transcription_factor	CRISPR		
PVT1	EP300	protein_coding	CRISPR		
PVT1	TMPO	protein_coding	CRISPR		
PVT1	GABPA	protein_coding	CRISPR		
PVT1	PBX3	transcription_factor	CRISPR		
PVT1	ITGB3	protein_coding	CRISPR		
PVT1	PUM1	protein_coding	CRISPR		
PVT1	BMPR2	protein_coding	CRISPR		
PVT1	PFN2	protein_coding	CRISPR		
PVT1	BMI1	protein_coding	CRISPR		
PVT1	LINC00641	lncRNA	CRISPR		
PVT1	TSLP	protein_coding	CRISPR		
PVT1	EIF2AK3	protein_coding	CRISPR		
PVT1	MYLIP	protein_coding	CRISPR		
PVT1	WWC2	protein_coding	CRISPR		
PVT1	KDM3A	protein_coding	CRISPR		
PVT1	ZRANB2	protein_coding	CRISPR		
PVT1	RAC2	protein_coding	CRISPR		
PVT1	ARHGAP11A	protein_coding	CRISPR		
PVT1	MAP2K4	protein_coding	CRISPR		
PVT1	MBTD1	protein_coding	CRISPR		
PVT1	USP9X	protein_coding	CRISPR		
PVT1	CCNL1	protein_coding	CRISPR		
PVT1	TRPS1	transcription_factor	CRISPR		
PVT1	KRAS	protein_coding	CRISPR		
PVT1	TGFBR1	protein_coding	CRISPR		
PVT1	RAB1A	protein_coding	CRISPR		
PVT1	TMEFF2	protein_coding	CRISPR		
PVT1	INCENP	protein_coding	CRISPR	ceRNA or sponge	train
PVT1	PRUNE2	protein_coding	CRISPR		
PVT1	CPS1	protein_coding	CRISPR		
PVT1	TJP1	protein_coding	CRISPR		
PVT1	RSF1	protein_coding	CRISPR		
PVT1	SPAG9	protein_coding	CRISPR		
PVT1	E2F8	transcription_factor	CRISPR		
PVT1	NOTCH2	protein_coding	CRISPR	ceRNA or sponge	train
PVT1	PRC1	protein_coding	CRISPR		
PVT1	PRKAA1	protein_coding	CRISPR		
PVT1	SMAD7	transcription_factor	CRISPR		
PVT1	RFX7	transcription_factor	CRISPR		
PVT1	DDX5	protein_coding	CRISPR		
PVT1	CLOCK	transcription_factor	CRISPR		
PVT1	ZFP91	transcription_factor	CRISPR		
PVT1	MAP3K2	protein_coding	CRISPR		
PVT1	AGTR1	protein_coding	CRISPR		
PVT1	VCAN	protein_coding	CRISPR		
PVT1	PHLPP2	protein_coding	CRISPR		
PVT1	E2F3	transcription_factor	CRISPR		
PVT1	KLF13	transcription_factor	CRISPR		
PVT1	HSF2	protein_coding	CRISPR		
PVT1	TP53BP2	protein_coding	CRISPR		
PVT1	HOXB3	transcription_factor	CRISPR		
PVT1	WNK1	protein_coding	CRISPR		
PVT1	AP1S2	protein_coding	CRISPR		
PVT1	VIM-AS1	lncRNA	CRISPR		
PVT1	ADAMTS1	protein_coding	CRISPR		
PVT1	ZFX	transcription_factor	CRISPR		
PVT1	SNAI2	transcription_factor	CRISPR		
PVT1	CASP8	protein_coding	CRISPR		
PVT1	MYO6	protein_coding	CRISPR		
PVT1	RAP1A	protein_coding	CRISPR		
PVT1	ZEB1	transcription_factor	CRISPR		
PVT1	TOP2A	protein_coding	CRISPR		
PVT1	BMF	protein_coding	CRISPR		
PVT1	NCAPH	protein_coding	CRISPR		
PVT1	PSMD10	protein_coding	CRISPR		
PVT1	SKIL	protein_coding	CRISPR		
PVT1	DMTF1	protein_coding	CRISPR		
PVT1	RPS6KB1	protein_coding	CRISPR		
PVT1	SALL1	transcription_factor	CRISPR		
PVT1	MSH2	protein_coding	CRISPR		
PVT1	CYTH3	protein_coding	CRISPR		
PVT1	CDC5L	transcription_factor	CRISPR		
PVT1	CYP26B1	protein_coding	CRISPR		
PVT1	CTNNB1	protein_coding	CRISPR		
PVT1	CBLL1	protein_coding	CRISPR		
PVT1	PLK4	protein_coding	CRISPR		
