h_name	h_in_db	t_name	t_in_db	relation	split
CCAT1	True	YDJC	False		
CCAT1	True	CAMKMT	False		
CCAT1	True	ZNF267	False		
CCAT1	True	GOLGA8A	False		
CCAT1	True	HMGB1	True		
CCAT1	True	CHORDC1	False		
CCAT1	True	GNL3	False		
CCAT1	True	KIF15	False		
CCAT1	True	PAGE1	False		
CCAT1	True	FAM162A	False		
CCAT1	True	SQLE	False		
CCAT1	True	CYCS	True		
CCAT1	True	ELOVL6	False		
CCAT1	True	HMGN3	False		
CCAT1	True	C16orf59	False		
CCAT1	True	NAA38	False		
CCAT1	True	GEMIN6	False		
CCAT1	True	ASB9	False		
CCAT1	True	GEMIN5	False		
CCAT1	True	RMI2	False		
CCAT1	True	TSC22D3	False		
CCAT1	True	RPL26	False		
CCAT1	True	KCTD3	False		
CCAT1	True	CRYZ	False		
CCAT1	True	NOL11	False		
CCAT1	True	CDC25A	True		
CCAT1	True	ZNF232	False		
CCAT1	True	EEF1E1	False		
CCAT1	True	ZADH2	False		
CCAT1	True	WDR35	False		
CCAT1	True	SNRPD1	False		
CCAT1	True	TRMT10C	False		
CCAT1	True	PM20D2	False		
CCAT1	True	AP1S2	True		
CCAT1	True	SF3B14	False		
CCAT1	True	RPF2	False		
CCAT1	True	C1QBP	True		
CCAT1	True	THOC7	False		
CCAT1	True	CASP9	True		
CCAT1	True	CCDC59	False		
CCAT1	True	MPI	False		
CCAT1	True	RSL24D1	False		
CCAT1	True	ENO3	False		
CCAT1	True	CLNS1A	False		
CCAT1	True	WDR12	False		
CCAT1	True	DHCR7	False		
CCAT1	True	TIMM9	False		
CCAT1	True	EXOSC8	False		
CCAT1	True	NTHL1	False		
CCAT1	True	THUMPD2	False		
CCAT1	True	CWC27	False		
CCAT1	True	DPH5	False		
CCAT1	True	SFXN4	False		
CCAT1	True	HIRIP3	False		
CCAT1	True	GDF11	False		
CCAT1	True	HSPD1	False		
CCAT1	True	CCDC138	False		
CCAT1	True	IFRD1	False		
CCAT1	True	SAAL1	False		
CCAT1	True	LIN9	False		
CCAT1	True	CMC2	False		
CCAT1	True	MAK16	False		
CCAT1	True	HMGCS1	False		
CCAT1	True	AK2	False		
CCAT1	True	UTP14A	False		
CCAT1	True	CENPK	False		
CCAT1	True	NDUFAB1	False		
CCAT1	True	RAVER2	False		
CCAT1	True	MACROD1	False		
CCAT1	True	RPL11	False		
CCAT1	True	TRIM7	False		
CCAT1	True	RPL22L1	False		
CCAT1	True	TBCA	False		
CCAT1	True	GNPNAT1	False		
CCAT1	True	SERBP1	False		
CCAT1	True	NSMCE4A	False		
CCAT1	True	CHAC2	False		
CCAT1	True	TFAM	True		
CCAT1	True	FASTKD3	False		
CCAT1	True	C1orf112	False		
CCAT1	True	TXLNG	False		
CCAT1	True	CSE1L	False		
CCAT1	True	AGPAT5	False		
CCAT1	True	PGM2	False		
CCAT1	True	RFC4	False		
CCAT1	True	NAE1	False		
CCAT1	True	NPM3	False		
CCAT1	True	CCDC77	False		
CCAT1	True	MRPL50	False		
CCAT1	True	WDR75	False		
CCAT1	True	LRR1	False		
CCAT1	True	EXOSC2	False		
CCAT1	True	FAIM	False		
CCAT1	True	HMGB3	True		
CCAT1	True	HDAC2	True		
CCAT1	True	CBX2	False		
CCAT1	True	SLC27A5	False		
CCAT1	True	ACAT2	False		
CCAT1	True	FKBP4	False		
CCAT1	True	NOP56	False		
CCAT1	True	CMSS1	False		
CCAT1	True	RCC1	False		
CCAT1	True	XRCC2	False		
CCAT1	True	RPL24	False		
CCAT1	True	RPL14	False		
CCAT1	True	MRPL32	False		
CCAT1	True	FAM122B	False		
CCAT1	True	UPF3B	False		
CCAT1	True	COX6A1	False		
CCAT1	True	NDUFAF2	False		
CCAT1	True	ANKRD32	False		
CCAT1	True	HSPA8	False		
CCAT1	True	PLK1S1	False		
CCAT1	True	MINA	False		
CCAT1	True	SLC18B1	False		
CCAT1	True	MRPL11	False		
CCAT1	True	GLO1	True		
CCAT1	True	FASTKD1	False		
CCAT1	True	CCDC78	False		
CCAT1	True	DHFR	False		
CCAT1	True	SNHG5	True		
CCAT1	True	PPAT	False		
CCAT1	True	RPS24	False		
CCAT1	True	FARSB	False		
CCAT1	True	SNHG15	True		
CCAT1	True	MEOX1	False		
CCAT1	True	BCCIP	False		
CCAT1	True	ATF4	True		
CCAT1	True	MRPL3	False		
CCAT1	True	CCNB1IP1	False		
CCAT1	True	MRPL47	False		
CCAT1	True	RANBP1	False		
CCAT1	True	PA2G4	True		
CCAT1	True	RPS25	False		
CCAT1	True	PPID	False		
CCAT1	True	OIP5	True		
CCAT1	True	ME2	False		
CCAT1	True	TARS	False		
CCAT1	True	NEDD1	False		
CCAT1	True	BLMH	False		
CCAT1	True	RNF8	False		
CCAT1	True	KIAA0101	False		
CCAT1	True	GBAS	False		
CCAT1	True	CACYBP	False		
CCAT1	True	RDH11	False		
CCAT1	True	ABCE1	True		
CCAT1	True	FASTKD2	False		
CCAT1	True	EMG1	False		
CCAT1	True	RABGGTB	False		
CCAT1	True	DANCR	True		
CCAT1	True	ANP32A	False		
CCAT1	True	PWP1	False		
CCAT1	True	CDCA7L	False		
CCAT1	True	PSMG1	False		
CCAT1	True	POLR3K	False		
CCAT1	True	PTBP2	True		
CCAT1	True	WDHD1	False		
CCAT1	True	MRPL42	False		
CCAT1	True	PAICS	False		
CCAT1	True	SNHG12	True		
CCAT1	True	SDHB	False		
CCAT1	True	BOD1	False		
CCAT1	True	U2SURP	False		
CCAT1	True	EME1	False		
CCAT1	True	EIF4EBP1	True		
CCAT1	True	TIMM21	False		
CCAT1	True	SPC24	False		
CCAT1	True	SRRD	False		
CCAT1	True	NUP107	False		
CCAT1	True	RPL5	False		
CCAT1	True	ZFAS1	True		
CCAT1	True	ASS1	False		
CCAT1	True	NOL8	False		
CCAT1	True	HSPA1B	False		
CCAT1	True	GPD1L	True		
CCAT1	True	SLC7A2	False		
CCAT1	True	LRRC40	False		
CCAT1	True	RPS18	False		
CCAT1	True	NCL	False		
CCAT1	True	ILF2	True		
CCAT1	True	RPL35	False		
CCAT1	True	TOP2B	False		
CCAT1	True	HSPA1A	False		
CCAT1	True	CCT6A	True		
CCAT1	True	URI1	False		
CCAT1	True	DCAF13	False		
CCAT1	True	EIF3E	False		
CCAT1	True	RUVBL1	False		
CCAT1	True	TRAP1	False		
CCAT1	True	ADSS	False		
CCAT1	True	GGCT	False		
CCAT1	True	FAM136A	False		
CCAT1	True	SLC38A5	False		
CCAT1	True	CCT5	False		
CCAT1	True	PNP	False		
CCAT1	True	TTC27	False		
CCAT1	True	UCHL5	False		
CCAT1	True	DNAJC2	False		
CCAT1	True	HNRNPDL	False		
CCAT1	True	KBTBD6	False		
CCAT1	True	SLMO2	False		
CCAT1	True	SUB1	True		
CCAT1	True	MRPL48	False		
CCAT1	True	PEG10	True		
CCAT1	True	HAGHL	False		
CCAT1	True	COX7B	False		
CCAT1	True	ATP5C1	False		
CCAT1	True	SRPK1	False		
CCAT1	True	GPATCH4	False		
CCAT1	True	RPL23	False		
CCAT1	True	NLN	False		
CCAT1	True	UBE2V2	False		
CCAT1	True	NDC1	False		
CCAT1	True	DDX21	False		
CCAT1	True	ZWILCH	False		
CCAT1	True	GAS5	True		
CCAT1	True	DMAP1	False		
CCAT1	True	RPL6	False		
CCAT1	True	CBS	True		
CCAT1	True	NOLC1	False		
CCAT1	True	DKC1	True		
CCAT1	True	SMC3	False		
CCAT1	True	PAXBP1	False		
CCAT1	True	POLR2G	False		
CCAT1	True	PANK3	False		
CCAT1	True	POP7	False		
CCAT1	True	GMNN	False		
CCAT1	True	UBE2E1	False		
CCAT1	True	ANP32E	False		
CCAT1	True	ZNF121	False		
CCAT1	True	TYW3	False		
CCAT1	True	SLIRP	False		
CCAT1	True	SCO1	False		
CCAT1	True	SUCLG1	False		
CCAT1	True	TMPO	True		
CCAT1	True	PSIP1	False		
CCAT1	True	NT5DC2	False		
CCAT1	True	PRMT1	True		
CCAT1	True	PGP	False		
CCAT1	True	FAM96A	False		
CCAT1	True	EIF2A	False		
CCAT1	True	ATP5F1	False		
CCAT1	True	LDHB	False		
CCAT1	True	PSMA3	False		
CCAT1	True	DEK	False		
CCAT1	True	WDR36	False		
CCAT1	True	PSMG3	False		
CCAT1	True	MOSPD1	False		
CCAT1	True	C17orf96	False		
CCAT1	True	CCT8	False		
CCAT1	True	RPS6	False		
CCAT1	True	IPO5	False		
CCAT1	True	HSP90AA1	True		
CCAT1	True	RPS4X	False		
CCAT1	True	NME1	False		
CCAT1	True	PPP1CC	False		
CCAT1	True	SLBP	True		
CCAT1	True	LSM5	False		
CCAT1	True	SRSF3	False		
CCAT1	True	PCID2	False		
CCAT1	True	COA4	False		
CCAT1	True	SDCCAG3	False		
CCAT1	True	MIS18BP1	False		
CCAT1	True	ARMC1	False		
CCAT1	True	SNHG8	True		
CCAT1	True	SNRPD2	False		
CCAT1	True	EIF1AX	False		
CCAT1	True	POLE3	False		
CCAT1	True	LINC00473	False		
CCAT1	True	RPL27	False		
CCAT1	True	SET	False		
CCAT1	True	FANCI	False		
CCAT1	True	NUP85	False		
CCAT1	True	RMND5A	False		
CCAT1	True	KARS	False		
CCAT1	True	GNL2	False		
CCAT1	True	TWISTNB	False		
CCAT1	True	FDFT1	False		
CCAT1	True	MRPL35	False		
CCAT1	True	PSRC1	False		
CCAT1	True	MRPS5	False		
CCAT1	True	HAUS6	False		
CCAT1	True	RPL37	False		
CCAT1	True	RPL35A	False		
CCAT1	True	XPOT	False		
CCAT1	True	RABEP1	False		
CCAT1	True	UQCRC2	False		
CCAT1	True	RPL29	False		
CCAT1	True	WDR43	False		
CCAT1	True	POLR1B	False		
CCAT1	True	RAN	False		
CCAT1	True	RPL12	False		
CCAT1	True	FEN1	False		
CCAT1	True	BAZ1A	False		
CCAT1	True	RPS14	False		
CCAT1	True	KRI1	False		
CCAT1	True	HNRNPC	False		
CCAT1	True	TMEM69	False		
CCAT1	True	SRSF1	True		
CCAT1	True	PGAM5	False		
CCAT1	True	UCK2	False		
CCAT1	True	UBA2	False		
CCAT1	True	RPL23A	False		
CCAT1	True	RRM1	True		
CCAT1	True	METAP2	False		
CCAT1	True	CCT2	False		
CCAT1	True	RPL32	False		
CCAT1	True	RPS13	False		
CCAT1	True	GAMT	False		
CCAT1	True	STIP1	False		
CCAT1	True	RPL7L1	False		
CCAT1	True	SYNCRIP	True		
CCAT1	True	C16orf13	False		
CCAT1	True	RBM12	False		
CCAT1	True	FDPS	False		
CCAT1	True	FAR1	False		
CCAT1	True	ACTL6A	False		
CCAT1	True	FAM211A-AS1	False		
CCAT1	True	CUL4A	True		
CCAT1	True	ATP5G1	False		
CCAT1	True	PODXL2	False		
CCAT1	True	POLD2	False		
CCAT1	True	AMD1	False		
CCAT1	True	HMG20B	False		
CCAT1	True	VPS35	False		
CCAT1	True	RPS8	False		
CCAT1	True	RPL39	False		
CCAT1	True	GNG12	False		
CCAT1	True	TMED9	False		
CCAT1	True	COPG1	False		
CCAT1	True	ASPH	False		
CCAT1	True	CLSTN1	False		
CCAT1	True	CD59	False		
CCAT1	True	ARCN1	False		
CCAT1	True	TRIM29	False		
CCAT1	True	LAMB1	False		
CCAT1	True	ACTN4	True		
CCAT1	True	ACO1	False		
CCAT1	True	JUP	False		
CCAT1	True	VAT1	False		
CCAT1	True	CLU	True		
CCAT1	True	LASP1	True		
CCAT1	True	PARVA	False		
CCAT1	True	SERINC3	False		
CCAT1	True	NINJ1	False		
CCAT1	True	PLIN3	False		
CCAT1	True	PTPRK	False		
CCAT1	True	GNPTAB	False		
CCAT1	True	TIMP3	True		
CCAT1	True	MCAM	True		
CCAT1	True	GOLGA2	False		
CCAT1	True	TAF13	False		
CCAT1	True	FAM129B	False		
CCAT1	True	PVRL2	False		
CCAT1	True	SCARA3	False		
CCAT1	True	MMP15	True		
CCAT1	True	GRAMD3	False		
CCAT1	True	LRP11	False		
CCAT1	True	PLD3	False		
CCAT1	True	HTRA1	False		
CCAT1	True	TMSB4X	False		
CCAT1	True	IGF1R	True		
CCAT1	True	SLC7A5	True		
CCAT1	True	TMEM164	False		
CCAT1	True	EXT2	False		
CCAT1	True	PTPRJ	False		
CCAT1	True	TMEM106B	False		
CCAT1	True	ATP1B1	False		
CCAT1	True	ARHGAP23	False		
CCAT1	True	NFE2L1	True		
CCAT1	True	POLR2A	False		
CCAT1	True	GABRE	False		
CCAT1	True	PBX1	False		
CCAT1	True	AGFG2	False		
CCAT1	True	EGFR	True		
CCAT1	True	DKFZP761J1410	False		
CCAT1	True	CD63	False		
CCAT1	True	PHLDB2	False		
CCAT1	True	AP2A1	False		
CCAT1	True	ARHGAP1	False		
CCAT1	True	LIMCH1	False		
CCAT1	True	PDLIM5	False		
CCAT1	True	FAM114A1	False		
CCAT1	True	STAT3	True	ceRNA or sponge	train
CCAT1	True	GLCE	False		
CCAT1	True	SLC35F6	False		
CCAT1	True	PNPLA6	False		
CCAT1	True	INADL	False		
CCAT1	True	PPP1R10	True		
CCAT1	True	PXN	True		
CCAT1	True	C2CD2	False		
CCAT1	True	LRRC41	False		
CCAT1	True	SPTBN1	False		
CCAT1	True	GPC1	False		
CCAT1	True	TRAM2	False		
CCAT1	True	CRTC3	False		
CCAT1	True	NEU1	True		
CCAT1	True	KIFC3	False		
CCAT1	True	ITGA6	True		
CCAT1	True	GALNT10	False		
CCAT1	True	CAPN2	False		
CCAT1	True	SDC1	False		
CCAT1	True	ATF5	False		
CCAT1	True	MANBA	False		
CCAT1	True	DCBLD2	False		
CCAT1	True	PHLDB1	False		
CCAT1	True	MGRN1	False		
CCAT1	True	SLC20A1	True		
CCAT1	True	MIDN	False		
CCAT1	True	LRRC8A	False		
CCAT1	True	TGIF1	False		
CCAT1	True	YPEL5	False		
CCAT1	True	NDST1	False		
CCAT1	True	EHD1	False		
CCAT1	True	TMED1	False		
CCAT1	True	TIMP1	False		
CCAT1	True	MBOAT7	False		
CCAT1	True	PDE4DIP	False		
CCAT1	True	IER5	False		
CCAT1	True	AFAP1	True		
CCAT1	True	ERMP1	False		
CCAT1	True	RABAC1	False		
CCAT1	True	SRGAP1	True		
CCAT1	True	SVIL	False		
CCAT1	True	ADM	False		
CCAT1	True	JAK1	True		
CCAT1	True	CYB5D2	False		
CCAT1	True	ARSB	False		
CCAT1	True	TENM3	False		
CCAT1	True	CALU	False		
CCAT1	True	EPB41L1	False		
CCAT1	True	LEPREL1	False		
CCAT1	True	SLC38A2	False		
CCAT1	True	CELSR1	False		
CCAT1	True	ICAM1	True		
CCAT1	True	LRRN2	False		
CCAT1	True	SMIM14	False		
CCAT1	True	SPTAN1	False		
CCAT1	True	SH3PXD2A	False		
CCAT1	True	CFLAR	False		
CCAT1	True	ZYX	False		
CCAT1	True	TPP1	False		
CCAT1	True	ARHGEF17	False		
CCAT1	True	PERP	False		
CCAT1	True	DAB2	False		
CCAT1	True	AIM1	False		
CCAT1	True	HPS5	False		
CCAT1	True	IFI44	False		
CCAT1	True	LEPROT	False		
CCAT1	True	MAPK7	False		
CCAT1	True	CHST3	False		
CCAT1	True	PTPRM	False		
CCAT1	True	ECE1	False		
CCAT1	True	SLC38A7	False		
CCAT1	True	SEC16A	False		
CCAT1	True	IRF2BPL	False		
CCAT1	True	DLGAP4	False		
CCAT1	True	SLC35C1	False		
CCAT1	True	GBF1	False		
CCAT1	True	BTD	False		
CCAT1	True	LRG1	True		
CCAT1	True	SDC4	False		
CCAT1	True	GBA	False		
CCAT1	True	PIK3C2B	False		
CCAT1	True	ABCG2	True		
CCAT1	True	DDX60L	False		
CCAT1	True	PLXNA2	False		
CCAT1	True	KANK2	False		
CCAT1	True	RETSAT	False		
CCAT1	True	GLRX	False		
CCAT1	True	TNFRSF10B	True		
CCAT1	True	EPHA5	False		
CCAT1	True	BRPF3	False		
CCAT1	True	CALCOCO1	True		
CCAT1	True	SQSTM1	True		
CCAT1	True	CCND3	False		
CCAT1	True	COL4A1	False		
CCAT1	True	GOLGA3	False		
CCAT1	True	TAPBP	False		
CCAT1	True	PTTG1IP	False		
CCAT1	True	MED15	False		
CCAT1	True	SLC38A10	False		
CCAT1	True	LINC00657	False		
CCAT1	True	UTRN	False		
CCAT1	True	COL4A5	False		
CCAT1	True	FKBP9	False		
CCAT1	True	SEL1L3	False		
CCAT1	True	PTGES	False		
CCAT1	True	PXDN	False		
CCAT1	True	GPR107	False		
CCAT1	True	DST	False		
CCAT1	True	PEX6	False		
CCAT1	True	SH3BGRL3	False		
CCAT1	True	MAGED2	False		
CCAT1	True	NCSTN	False		
CCAT1	True	CDA	False		
CCAT1	True	RASSF5	False		
CCAT1	True	ZNRF3	False		
CCAT1	True	VPS13D	False		
CCAT1	True	MEGF9	False		
CCAT1	True	GNS	False		
CCAT1	True	NRP1	True		
CCAT1	True	DIO2	False		
CCAT1	True	HCN2	False		
CCAT1	True	NNMT	True		
CCAT1	True	TECPR2	False		
CCAT1	True	EPHX1	True		
CCAT1	True	RBMS2	False		
CCAT1	True	ITGB1	True		
CCAT1	True	ITGA1	False		
CCAT1	True	TLN1	False		
CCAT1	True	GALNT6	False		
CCAT1	True	HIF1A	True		
CCAT1	True	HIST1H1C	False		
CCAT1	True	TMEM127	False		
CCAT1	True	PITPNM3	False		
CCAT1	True	FDXR	False		
CCAT1	True	SAMD9	False		
CCAT1	True	TUFT1	False		
CCAT1	True	PML	False		
CCAT1	True	UBE2H	False		
CCAT1	True	AJUBA	False		
CCAT1	True	PRSS23	False		
CCAT1	True	ACTN1	False		
CCAT1	True	POFUT2	False		
CCAT1	True	PLA2G15	False		
CCAT1	True	BCL9L	False		
CCAT1	True	EXT1	False		
CCAT1	True	TMPRSS3	False		
CCAT1	True	HECTD4	False		
CCAT1	True	DMPK	False		
CCAT1	True	NAGK	False		
CCAT1	True	TMEM173	False		
CCAT1	True	GM2A	False		
CCAT1	True	ZNF703	True		
CCAT1	True	TEAD3	False		
CCAT1	True	TPRA1	False		
CCAT1	True	DAP	False		
CCAT1	True	EP300	True		
CCAT1	True	FAM214B	False		
CCAT1	True	BMP1	True		
CCAT1	True	FSTL3	False		
CCAT1	True	TGOLN2	False		
CCAT1	True	CREBBP	True		
CCAT1	True	SQRDL	False		
CCAT1	True	MACF1	False		
CCAT1	True	PPAP2B	False		
CCAT1	True	FAM46B	False		
CCAT1	True	KLHL22	False		
CCAT1	True	NCKAP5L	False		
CCAT1	True	SRGN	True		
CCAT1	True	IGSF3	False		
CCAT1	True	ITFG3	False		
CCAT1	True	MPRIP	False		
CCAT1	True	AHRR	False		
CCAT1	True	TOM1	False		
CCAT1	True	B4GALT1	False		
CCAT1	True	SEZ6L2	False		
CCAT1	True	FHL2	False		
CCAT1	True	SLC48A1	False		
CCAT1	True	HIST1H2AC	False		
CCAT1	True	CYP11A1	False		
CCAT1	True	DYNC1H1	False		
CCAT1	True	SMG6	False		
CCAT1	True	FADS3	False		
CCAT1	True	PPL	False		
CCAT1	True	TMEM104	False		
CCAT1	True	PLAC8	False		
CCAT1	True	INPPL1	False		
CCAT1	True	TNFAIP3	True		
CCAT1	True	PIEZO2	False		
CCAT1	True	PLEKHM1	False		
CCAT1	True	LYPD3	True		
CCAT1	True	HES2	True		
CCAT1	True	TRANK1	False		
CCAT1	True	SLC39A13	False		
CCAT1	True	SLC24A1	False		
CCAT1	True	P4HA3	False		
CCAT1	True	TSPAN4	False		
CCAT1	True	TSKU	False		
CCAT1	True	CTSD	False		
CCAT1	True	DRAM1	True		
CCAT1	True	CDC42EP3	False		
CCAT1	True	MYO5B	False		
CCAT1	True	SCAMP4	False		
CCAT1	True	MST1R	False		
CCAT1	True	LURAP1L	False		
CCAT1	True	LINC00319	True		
CCAT1	True	KRT18	False		
CCAT1	True	ITGA5	True		
CCAT1	True	LAMB3	True		
CCAT1	True	PHLDA1	True		
CCAT1	True	GRN	True		
CCAT1	True	FLNA	False		
