h	h_name	h_in_db	t	t_name	t_in_db	relation	split
ENSG00000279259		False	ENSG00000141527	CARD14	False		
ENSG00000272205	POU2F1-DT	False	ENSG00000143157	POGK	False		
ENSG00000282386		False	ENSG00000143554	SLC27A3	False		
ENSG00000273026		False	ENSG00000143554	SLC27A3	False		
ENSG00000272654	JTB-DT	False	ENSG00000143621	ILF2	True		
ENSG00000282386		False	ENSG00000143624	INTS3	False		
ENSG00000272735		False	ENSG00000144043	TEX261	False		
ENST00000607970		False	ENSG00000144468	RHBDD1	False		
ENSG00000249483		False	ENSG00000145687	SSBP2	False		
CUFF.156858		False	ENSG00000145911	N4BP3	False		
ENST00000429053		False	ENSG00000146147	MLIP	False		
ENSG00000261334		False	ENSG00000148335	NTMT1	False		
ENSG00000279631		False	ENSG00000148444	COMMD3	False		
ENSG00000273485		False	ENSG00000148843	PDCD11	False		
ENSG00000283078		False	ENSG00000149657	LSM14B	False		
ENSG00000249483		False	ENSG00000152348	ATG10	False		
ENSG00000274213		False	ENSG00000153933	DGKE	False		
ENSG00000224738		False	ENSG00000153982	GDPD1	False		
STRG.24527		False	ENSG00000154102	C16orf74	False		
ENSG00000234432	LINC02983	False	ENSG00000155034	FBXL18	False		
ENSG00000273084	LINC03073	False	ENSG00000155034	FBXL18	False		
ENSG00000254024		False	ENSG00000155090	KLF10	True		
ENSG00000239791		False	ENSG00000156860	FBRS	False		
TCONS_00001771		False	ENSG00000159166	LAD1	False		
ENSG00000282386		False	ENSG00000160679	CHTOP	False		
ENSG00000273026		False	ENSG00000160679	CHTOP	False		
ENST00000573042		False	ENSG00000162104	ADCY9	False		
ENST00000573220		False	ENSG00000162104	ADCY9	False		
ENSG00000271200	PATJ-DT	False	ENSG00000162604	TM2D1	False		
ENSG00000273338		False	ENSG00000162616	DNAJB4	False		
ENSG00000243960		False	ENSG00000162777	DENND2D	False		
ENSG00000280186		False	ENSG00000163399	ATP1A1	False		
ENSG00000260879		False	ENSG00000163399	ATP1A1	False		
TCONS_00006285		False	ENSG00000163659	TIPARP	False		
CUFF.148798		False	ENSG00000164300	SERINC5	False		
STRG.49360		False	ENSG00000164300	SERINC5	False		
ENSG00000254024		False	ENSG00000164924	YWHAZ	True		
ENSG00000273270	LINC03072	False	ENSG00000165055	METTL2B	False		
ENSG00000278002		False	ENSG00000165527	ARF6	True		
ENSG00000279059		False	ENSG00000166260	COX11	False		
ENSG00000279059		False	ENSG00000166263	STXBP4	True		
ENSG00000279259		False	ENSG00000167291	TBC1D16	False		
ENSG00000224738		False	ENSG00000167447	SMG8	False		
ENSG00000279198		False	ENSG00000167461	RAB8A	False		
ENSG00000265474		False	ENSG00000167525	PROCA1	False		
ENSG00000265474		False	ENSG00000167536	DHRS13	False		
ENSG00000274251		False	ENSG00000167797	CDK2AP2	False		
ENSG00000246889	CTTN-DT	False	ENSG00000168040	FADD	True		
ENSG00000270117		False	ENSG00000168056	LTBP3	True		
ENSG00000251562	MALAT1	True	ENSG00000168056	LTBP3	True	transcriptional regulation	train
ENSG00000279631		False	ENSG00000168283	BMI1	True		
TCONS_00007951		False	ENSG00000169020	ATP5ME	False		
CUFF.105850		False	ENSG00000169047	IRS1	True		
ENSG00000239791		False	ENSG00000169951	ZNF764	False		
ENSG00000239791		False	ENSG00000169955	ZNF747	False		
ENSG00000239791		False	ENSG00000169957	ZNF768	False		
TCONS_00004271		False	ENSG00000170264	FAM161A	False		
ENSG00000260369		False	ENSG00000171246	NPTX1	False		
ENSG00000279259		False	ENSG00000171298	GAA	False		
ENSG00000271788		False	ENSG00000172262	ZNF131	False		
ENSG00000278546		False	ENSG00000172301	COPRS	False		
ENSG00000277142	LINC00235	False	ENSG00000172366	MCRIP2	False		
ENSG00000274251		False	ENSG00000172613	RAD9A	False		
ENSG00000274251		False	ENSG00000172663	TMEM134	False		
ENSG00000274251		False	ENSG00000172830	SSH3	False		
TCONS_00019670		False	ENSG00000172922	RNASEH2C	False		
TCONS_00019671		False	ENSG00000172922	RNASEH2C	False		
ENSG00000274251		False	ENSG00000172932	ANKRD13D	False		
TCONS_00019670		False	ENSG00000172977	KAT5	False		
TCONS_00019671		False	ENSG00000172977	KAT5	False		
ENSG00000275484		False	ENSG00000173020	GRK2	True		
ENSG00000275484		False	ENSG00000173156	RHOD	False		
TCONS_00004271		False	ENSG00000173163	COMMD1	False		
ENSG00000251562	MALAT1	True	ENSG00000173327	MAP3K11	True		
ENSG00000270117		False	ENSG00000173327	MAP3K11	True		
ENSG00000251562	MALAT1	True	ENSG00000173442	EHBP1L1	False		
ENSG00000270117		False	ENSG00000173442	EHBP1L1	False		
ENSG00000272888	CHASERR	False	ENSG00000173575	CHD2	False		
ENSG00000275479		False	ENSG00000173821	RNF213	False		
ENSG00000273485		False	ENSG00000173915	ATP5MK	False		
ENSG00000272509		False	ENSG00000175305	CCNE2	True		
ENSG00000180539	LINC02908	False	ENSG00000176919	C8G	False		
ENSG00000273015	LINC00938	False	ENSG00000177119	ANO6	False		
ENSG00000180539	LINC02908	False	ENSG00000177239	MAN1B1	False		
ENSG00000271788		False	ENSG00000177721	ANXA2R	False		
ENSG00000269318		False	ENSG00000178078	STAP2	False		
ENSG00000260919		False	ENSG00000178718	RPP25	True		
ENSG00000265474		False	ENSG00000179761	PIPOX	False		
ENSG00000280233		False	ENSG00000180891	CUEDC1	False		
ENSG00000262136	NQO1-DT	False	ENSG00000181019	NQO1	True		
ENSG00000275479		False	ENSG00000181045	SLC26A11	False		
ENSG00000275479		False	ENSG00000181523	SGSH	False		
ENSG00000280233		False	ENSG00000181610	MRPS23	False		
ENSG00000270022		False	ENSG00000182057	OGFRP1	True		
ENSG00000224738		False	ENSG00000182628	SKA2	True		
ENSG00000261469		False	ENSG00000182810	DDX28	False		
ENSG00000270022		False	ENSG00000183569	SERHL2	False		
ENSG00000283078		False	ENSG00000184402	SS18L1	False		
ENSG00000180539	LINC02908	False	ENSG00000184925	LCN12	False		
ENSG00000275966		False	ENSG00000185332	TMEM105	False		
ENSG00000274833		False	ENSG00000185332	TMEM105	False		
ENSG00000279692		False	ENSG00000185332	TMEM105	False		
STRG.19964		False	ENSG00000185567	AHNAK2	False		
ENSG00000260924	LINC01311	False	ENSG00000185608	MRPL40	False		
ENST00000565633		False	ENSG00000185669	SNAI3	False		
ENST00000569786		False	ENSG00000185669	SNAI3	False		
ENST00000563475		False	ENSG00000185669	SNAI3	False		
ENST00000412643		False	ENSG00000188064	WNT7B	True		
ENSG00000180539	LINC02908	False	ENSG00000188229	TUBB4B	False		
ENSG00000261334		False	ENSG00000188483	IER5L	False		
ENSG00000273026		False	ENSG00000188643	S100A16	False		
ENSG00000282386		False	ENSG00000188643	S100A16	False		
ENSG00000282386		False	ENSG00000189171	S100A13	False		
ENSG00000273026		False	ENSG00000189171	S100A13	False		
ENSG00000270022		False	ENSG00000189306	RRP7A	False		
ENST00000498005		False	ENSG00000196428	TSC22D2	False		
ENST00000561649		False	ENSG00000196557	CACNA1H	False		
ENSG00000180539	LINC02908	False	ENSG00000196642	RABL6	False		
ENSG00000270117		False	ENSG00000197136	PCNX3	False		
ENSG00000251562	MALAT1	True	ENSG00000197136	PCNX3	False		
ENSG00000239791		False	ENSG00000197162	ZNF785	False		
CUFF.156858		False	ENSG00000197451	HNRNPAB	False		
ENSG00000268858		False	ENSG00000197457	STMN3	False		
ENSG00000277142	LINC00235	False	ENSG00000197562	RAB40C	False		
ENSG00000268858		False	ENSG00000198276	UCKL1	False		
ENSG00000262136	NQO1-DT	False	ENSG00000198373	WWP2	False		
ENSG00000260919		False	ENSG00000198794	SCAMP5	False		
ENSG00000258701	LINC00638	False	ENSG00000203485	INF2	False		
ENSG00000180539	LINC02908	False	ENSG00000212864	RNF208	False		
ENSG00000276698		False	ENSG00000213906	LTB4R2	False		
ENSG00000274213		False	ENSG00000214226	C17orf67	False		
ENSG00000271788		False	ENSG00000215068	ANXA2R-AS1	False		
TCONS_00007951		False	ENSG00000215375	MYL5	False		
ENSG00000272017		False	ENSG00000228439		False		
ENSG00000180539	LINC02908	False	ENSG00000228544	CCDC183-AS1	False		
ENST00000508000		False	ENSG00000228716	DHFR	False		
ENSG00000260992	DOCK9-DT	False	ENSG00000228889	UBAC2-AS1	False		
ENSG00000279602		False	ENSG00000236383	CCDC200	False		
ENST00000429053		False	ENSG00000236740		False		
TCONS_00013672		False	ENSG00000240230	COX19	False		
