h	h_name	h_in_db	t	t_name	t_in_db	relation	split
ENSG00000267493	CIRBP-AS1	False	ENSG00000064666	CNN2	False		
TCONS_00027655		False	ENSG00000064932	SBNO2	False		
TCONS_00027154		False	ENSG00000064932	SBNO2	False		
ENSG00000267493	CIRBP-AS1	False	ENSG00000064932	SBNO2	False		
ENST00000563192		False	ENSG00000065057	NTHL1	False		
ENSG00000271427		False	ENSG00000065183	WDR3	False		
ENSG00000258056	CD63-AS1	False	ENSG00000065357	DGKA	False		
ENSG00000258199		False	ENSG00000065361	ERBB3	True		
ENSG00000273973		False	ENSG00000065361	ERBB3	True		
ENST00000441217		False	ENSG00000065911	MTHFD2	False		
ENSG00000256628	ZBTB11-AS1	False	ENSG00000066422	ZBTB11	False		
CUFF.195041		False	ENSG00000066697	MSANTD3	False		
TCONS_00010337		False	ENSG00000067113	PLPP1	False		
ENST00000541888		False	ENSG00000067182	TNFRSF1A	False		
ENSG00000260464		False	ENSG00000067334	DNTTIP2	False		
ENST00000439898		False	ENSG00000068001	HYAL2	False		
ENSG00000270195		False	ENSG00000068078	FGFR3	True		
ENSG00000224738		False	ENSG00000068097	HEATR6	False		
ENSG00000266962	HSD17B1-AS1	False	ENSG00000068120	COASY	False		
ENSG00000224738		False	ENSG00000068489	PRR11	True		
ENSG00000273080		False	ENSG00000068654	POLR1A	False		
ENST00000546259		False	ENSG00000069493	CLEC2D	False		
ENST00000537616		False	ENSG00000069493	CLEC2D	False		
ENSG00000267751	BSG-AS1	False	ENSG00000070404	FSTL3	False		
ENST00000608984		False	ENSG00000070444	MNT	False		
ENST00000448136		False	ENSG00000070495	JMJD6	True		
ENST00000448136		False	ENSG00000070526	ST6GALNAC1	False		
ENSG00000265100		False	ENSG00000070540	WIPI1	False		
ENSG00000284707		False	ENSG00000070669	ASNS	False		
ENSG00000261335		False	ENSG00000070731	ST6GALNAC2	False		
ENST00000561486		False	ENSG00000071127	WDR1	False		
ENSG00000280195		False	ENSG00000071553	ATP6AP1	False		
ENSG00000285018		False	ENSG00000071553	ATP6AP1	False		
ENSG00000268798		False	ENSG00000071626	DAZAP1	False		
ENSG00000280195		False	ENSG00000071889	FAM3A	False		
ENSG00000224614	TNK2-AS1	True	ENSG00000072274	TFRC	True		
ENSG00000261864		False	ENSG00000072736	NFATC3	True		
ENSG00000260526	AP1AR-DT	False	ENSG00000073331	ALPK1	False		
ENSG00000278834		False	ENSG00000073584	SMARCE1	False		
ENSG00000277715		False	ENSG00000074590	NUAK1	True		
ENSG00000277597		False	ENSG00000074660	SCARF1	False		
ENST00000550886		False	ENSG00000075089	ACTR6	False		
ENST00000412643		False	ENSG00000075218	GTSE1	True		
ENST00000412643		False	ENSG00000075240	GRAMD4	False		
ENSG00000260708	TBC1D22A-DT	False	ENSG00000075275	CELSR1	False		
ENSG00000259775	EIF5-DT	False	ENSG00000075413	MARK3	False		
ENSG00000248101		False	ENSG00000075702	WDR62	False		
ENSG00000274425		False	ENSG00000076662	ICAM3	False		
ENST00000492465		False	ENSG00000076685	NT5C2	False		
ENSG00000274092		False	ENSG00000077238	IL4R	False		
